time,q_0,q_1,q_2,q_3,q_4,q_5,v_0,v_1,v_2,v_3,v_4,v_5
8.119999999999916,0.0017579141879431896,0.060961494807718904,0.11916530587407159,0.09928300022336803,0.510339128317602,-1.0799842864699984,-0.0031608182600624305,-0.7035944845138041,0.4997815924467939,0.9495224274306963,3.387465860595726,26.941556225880063
8.139999999999915,0.0016863429084988922,0.044318690732295496,0.13110467245561064,0.11228320743903804,0.5655231298545714,-1.2042553429394742,-0.00357856397221487,-0.8321402037711705,0.5969683290769527,0.6500103607835002,2.759200076848474,-6.2135528234737905
8.159999999999915,0.0016235851721467529,0.025433183771663186,0.1445378096779931,0.12175980574464812,0.619455210087347,-1.9638390011090738,-0.0031378868176069664,-0.9442753480316155,0.6716568611191224,0.4738299152805039,2.696604011638782,-37.979182908479984
8.179999999999914,0.0015530043508641287,0.004181621785419622,0.1562083407387263,0.12532821481728298,0.6186591083394412,-1.9162184020615691,-0.003529041064131206,-1.0625780993121783,0.5835265530366605,0.17842045363174314,-0.039805087395292205,2.3810299523752363
8.199999999999914,0.001462113131833175,-0.017977438973574556,0.1649941907436847,0.13567952174127004,0.6164652840259023,-0.8306927903420442,-0.004544560951547689,-1.107953037949709,0.4392925002479209,0.5175653461993525,-0.1096912156769428,54.27628058597624
8.219999999999914,0.0013710401195973659,-0.03899466877200845,0.17126509356457967,0.10504519802157532,0.49936038628650015,-0.8524045999268816,-0.004553650611790455,-1.050861489921695,0.3135451410447475,-1.5317161859847364,-5.855244886970107,-1.0855904792418656
8.239999999999913,0.0013863674850425666,-0.056086109292335554,0.1701880847741553,0.09190335466650437,0.4254879623536542,-0.6855668456344031,0.0007663682722600382,-0.854572026016355,-0.05385043952121743,-0.6570921677535473,-3.6936211966422956,8.341887714623926
8.259999999999913,0.001397574535486882,-0.0684164208618851,0.16944002592871904,0.07900781039512492,0.3569696250417095,-0.5948780793945615,0.0005603525222157755,-0.6165155784774771,-0.03740294227181375,-0.644777213568973,-3.4259168655972365,4.53443831199208
8.279999999999912,0.0014167053677474157,-0.07670634570191151,0.16870618655482336,0.0665133365880443,0.2984778435747845,-0.5010756591367086,0.0009565416130266889,-0.4144962420013203,-0.03669196869478395,-0.6247236903540306,-2.924589073346248,4.6901210128926465
8.299999999999912,0.001440824359874901,-0.0817822521134934,0.1672215378595927,0.05524498965192601,0.24825561475177443,-0.4237536088320364,0.001205949606374258,-0.25379532057909415,-0.07423243476153334,-0.5634173468059147,-2.5111114411505033,3.86610251523361
8.319999999999911,0.0014677786716119378,-0.08415659519751591,0.16502876724672677,0.045140603673918395,0.20533702464995654,-0.356812463517488,0.0013477155868518453,-0.11871715420112569,-0.10963853064329687,-0.5052192989003808,-2.145929505090894,3.347057265727419
8.339999999999911,0.0014954527384892589,-0.08420636635425242,0.16240292252790126,0.03599198304076339,0.16856715512442386,-0.29944617264106277,0.001383703343866056,-0.0024885578368260414,-0.13129223594127581,-0.4574310316577501,-1.8384934762766338,2.868314543821264
8.35999999999991,0.001522894371368163,-0.0822983744413647,0.15948076774538994,0.027748606229522292,0.13708951444649198,-0.25021459526712186,0.0013720816439451997,0.09539959564438587,-0.14610773912556638,-0.412168840562055,-1.5738820338965935,2.461578868697044
8.37999999999991,0.0015494323283575832,-0.07878141216752339,0.1563261854780916,0.02035220551827068,0.11016349047436538,-0.20804968361690002,0.0013268978494710133,0.17584811369206518,-0.1577291133649166,-0.3698200355625804,-1.34630119860633,2.1082455825110915
8.39999999999991,0.001574750000634473,-0.07396534957630317,0.15299212653793764,0.01373665689461899,0.0871458951405642,-0.17197053517261787,0.0012658836138444887,0.2408031295610109,-0.16670294700769775,-0.3307774311825845,-1.1508797666900588,1.8039574222141075
